phase,model,model_slug,problem_id,problem_name,nominal_total_steps,executed_total_steps,passed_steps,failed_steps,timeout_steps,missing_steps,benchmark_subproblem_pass_rate,executed_subproblem_pass_rate,benchmark_problem_solved,executed_problem_solved,dependency_modules,returncode,duration_seconds
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,15,Crank_Nicolson_for_time_dependent_Schrodinger,2,2,0,2,0,0,0.0,0.0,0,0,"numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,16,Davidson_method,2,2,0,2,0,0,0.0,0.0,0,0,"math,numpy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,17,linear_tetrahedron_method,2,2,0,2,0,0,0.0,0.0,0,0,"numpy,sympy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,18,NURBS,2,2,0,2,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,20,phonon_angular_momentum,2,2,1,1,0,0,0.5,0.5,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,21,Absorption_coefficient_for_alloy_GaAlAs,3,3,1,2,0,0,0.3333333333333333,0.3333333333333333,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,22,Beam_translation_reexpansion,3,3,0,3,0,0,0.0,0.0,0,0,"numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,23,Blahut_Arimoto,3,3,0,3,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,24,Burgers_equation,3,3,0,3,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,25,CRM_in_chemostat,3,3,1,2,0,0,0.3333333333333333,0.3333333333333333,0,0,"functools,numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,26,CRM_in_serial_dilution,3,3,1,2,0,0,0.3333333333333333,0.3333333333333333,0,0,"copy,math,numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,27,Design_trade_offs_for_high_speed_photodetectors,3,3,1,2,0,0,0.3333333333333333,0.3333333333333333,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,28,Gaussian_Beam_Intensity,3,3,0,3,0,0,0.0,0.0,0,0,"numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,75,graphene_tight_binding,3,3,1,2,0,0,0.3333333333333333,0.3333333333333333,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,30,helium_slater_jastrow_wavefunction,3,3,0,3,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,31,independent_component_analysis,3,3,1,2,0,0,0.3333333333333333,0.3333333333333333,0,0,"numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,32,Multiparticle_dynamics_in_the_optical_tweezer_array,3,3,0,3,0,0,0.0,0.0,0,0,"numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,33,phase_diagram_chern_haldane_model_v1,3,3,0,3,0,0,0.0,0.0,0,0,"cmath,math,numpy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,34,PN_diode_band_diagram,3,3,1,2,0,0,0.3333333333333333,0.3333333333333333,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,35,Quantum_Dot_Absorption_Spectrum,3,3,0,3,0,0,0.0,0.0,0,0,"itertools,numpy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,36,Quasi_Fermi_levels_of_photo_resistor_out_of_equilibrium,3,3,0,3,0,0,0.0,0.0,0,0,"numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,37,ray_optics_spherical_aberration,3,3,0,3,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,39,Reflection_spectra_for_a_Distributed_Bragg_Reflector,3,3,0,3,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,40,Spliting_Operator,3,3,1,2,0,0,0.3333333333333333,0.3333333333333333,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,41,Structural_stability_in_serial_dilution,3,3,0,3,0,0,0.0,0.0,0,0,"math,numpy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,42,The_threshold_current_for_multi_quantum_well_lasers,3,3,0,3,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,43,two_end_fiber_laser_generator,3,3,0,3,0,0,0.0,0.0,0,0,"numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,45,finite_difference_heat_equation,4,4,0,4,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,46,helium_atom_vmc,4,4,0,4,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,48,MEELS_conversion,4,4,0,4,0,0,0.0,0.0,0,0,"numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,79,Nose_Hoover_chain_thermostat,4,4,1,3,0,0,0.25,0.25,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,76,protein_dna_binding,4,3,0,3,0,0,0.0,0.0,0,0,"collections,numpy,random",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,50,Replica_symmetry_breaking,4,4,1,3,0,0,0.25,0.25,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,52,Shooting_algo_H_atom,4,4,0,4,0,0,0.0,0.0,0,0,"numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,53,Stochastic_Lotka_Volterra,4,4,1,3,0,0,0.25,0.25,0,0,"numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,54,SUPG,4,4,0,4,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,55,Swift_Hohenberg,4,4,0,4,0,0,0.0,0.0,0,0,"numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,56,temporal_niches,4,4,0,4,0,0,0.0,0.0,0,0,"itertools,math,numpy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,57,1D_harmonic_oscillator_numerov_shooting,5,5,1,4,0,0,0.2,0.2,0,0,"numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,58,Tolman_Oppenheimer_Volkoff_star,5,5,3,1,1,0,0.6,0.6,0,0,"numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,59,VQE,5,5,0,5,0,0,0.0,0.0,0,0,"cmath,numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,60,Widom_particle_insertion,5,5,2,3,0,0,0.4,0.4,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,61,Xray_conversion_I,5,5,0,5,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,62,dmrg,6,5,0,5,0,0,0.0,0.0,0,0,"numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,63,Estimating_Stock_Option_Price,6,6,0,6,0,0,0.0,0.0,0,0,"numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,64,GCMC,6,6,3,3,0,0,0.5,0.5,0,0,"itertools,numpy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,65,GHZ_protocol_fidelity,6,6,1,5,0,0,0.16666666666666666,0.16666666666666666,0,0,"itertools,numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,66,kolmogorov_crespi_potential,6,6,1,5,0,0,0.16666666666666666,0.16666666666666666,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,67,LEG_Dyson_equation_bulk,6,6,0,6,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,80,Anderson_thermostat,7,7,2,5,0,0,0.2857142857142857,0.2857142857142857,0,0,"math,mpl_toolkits,numpy,os,pickle,scipy,time",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,68,helium_atom_dmc,8,8,1,7,0,0,0.125,0.125,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,69,LEG_Dyson_equation_semi_infinite,8,8,0,8,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,71,GADC_rev_coherent_info,9,9,1,8,0,0,0.1111111111111111,0.1111111111111111,0,0,"itertools,numpy,scipy",0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,72,ising_model,9,9,4,5,0,0,0.4444444444444444,0.4444444444444444,0,0,numpy,0,5152.458061354002
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,73,Xray_conversion_II,9,9,0,9,0,0,0.0,0.0,0,0,numpy,0,5152.458061354002
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,77,Berendsen_thermostat,12,12,5,7,0,0,0.4166666666666667,0.4166666666666667,0,0,"math,numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,11,GADC_entanglement,12,12,2,10,0,0,0.16666666666666666,0.16666666666666666,0,0,"itertools,numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,12,Schrodinger_DFT_with_SCF,14,14,0,14,0,0,0.0,0.0,0,0,"numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,13,Maxwell_Equation_Solver,15,14,5,9,0,0,0.3333333333333333,0.35714285714285715,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,2,Gaussian_Beam_Focus,1,1,0,1,0,0,0.0,0.0,0,0,"numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,74,Householder_QR,1,1,1,0,0,0,1.0,1.0,1,1,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,5,Lanczos,1,1,0,1,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,8,Spatial_filters_III,1,1,0,1,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,9,Weighted_Jacobi,1,1,0,1,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,14,Brownian_motion_in_the_optical_tweezer,2,2,0,2,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,15,Crank_Nicolson_for_time_dependent_Schrodinger,2,2,0,2,0,0,0.0,0.0,0,0,"numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,16,Davidson_method,2,2,0,2,0,0,0.0,0.0,0,0,"math,numpy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,17,linear_tetrahedron_method,2,2,0,2,0,0,0.0,0.0,0,0,"numpy,sympy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,18,NURBS,2,2,0,2,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,20,phonon_angular_momentum,2,2,1,1,0,0,0.5,0.5,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,21,Absorption_coefficient_for_alloy_GaAlAs,3,3,0,3,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,22,Beam_translation_reexpansion,3,3,0,3,0,0,0.0,0.0,0,0,"numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,23,Blahut_Arimoto,3,3,0,2,1,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,24,Burgers_equation,3,3,0,3,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,25,CRM_in_chemostat,3,3,1,2,0,0,0.3333333333333333,0.3333333333333333,0,0,"functools,numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,26,CRM_in_serial_dilution,3,3,1,2,0,0,0.3333333333333333,0.3333333333333333,0,0,"copy,math,numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,27,Design_trade_offs_for_high_speed_photodetectors,3,3,0,3,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,28,Gaussian_Beam_Intensity,3,3,0,3,0,0,0.0,0.0,0,0,"numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,75,graphene_tight_binding,3,3,1,2,0,0,0.3333333333333333,0.3333333333333333,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,30,helium_slater_jastrow_wavefunction,3,3,0,3,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,31,independent_component_analysis,3,3,1,2,0,0,0.3333333333333333,0.3333333333333333,0,0,"numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,32,Multiparticle_dynamics_in_the_optical_tweezer_array,3,3,0,3,0,0,0.0,0.0,0,0,"numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,33,phase_diagram_chern_haldane_model_v1,3,3,0,3,0,0,0.0,0.0,0,0,"cmath,math,numpy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,34,PN_diode_band_diagram,3,3,1,2,0,0,0.3333333333333333,0.3333333333333333,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,35,Quantum_Dot_Absorption_Spectrum,3,3,0,3,0,0,0.0,0.0,0,0,"itertools,numpy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,36,Quasi_Fermi_levels_of_photo_resistor_out_of_equilibrium,3,3,0,3,0,0,0.0,0.0,0,0,"numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,37,ray_optics_spherical_aberration,3,3,0,3,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,39,Reflection_spectra_for_a_Distributed_Bragg_Reflector,3,3,0,3,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,40,Spliting_Operator,3,3,0,3,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,41,Structural_stability_in_serial_dilution,3,3,0,3,0,0,0.0,0.0,0,0,"math,numpy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,42,The_threshold_current_for_multi_quantum_well_lasers,3,3,0,3,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,43,two_end_fiber_laser_generator,3,3,0,3,0,0,0.0,0.0,0,0,"numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,45,finite_difference_heat_equation,4,4,0,4,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,46,helium_atom_vmc,4,4,1,3,0,0,0.25,0.25,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,48,MEELS_conversion,4,4,0,4,0,0,0.0,0.0,0,0,"numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,79,Nose_Hoover_chain_thermostat,4,4,1,3,0,0,0.25,0.25,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,76,protein_dna_binding,4,3,0,3,0,0,0.0,0.0,0,0,"collections,numpy,random",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,50,Replica_symmetry_breaking,4,4,2,2,0,0,0.5,0.5,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,52,Shooting_algo_H_atom,4,4,0,4,0,0,0.0,0.0,0,0,"numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,53,Stochastic_Lotka_Volterra,4,4,0,4,0,0,0.0,0.0,0,0,"numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,54,SUPG,4,4,0,4,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,55,Swift_Hohenberg,4,4,0,4,0,0,0.0,0.0,0,0,"numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,56,temporal_niches,4,4,0,4,0,0,0.0,0.0,0,0,"itertools,math,numpy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,57,1D_harmonic_oscillator_numerov_shooting,5,5,2,3,0,0,0.4,0.4,0,0,"numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,58,Tolman_Oppenheimer_Volkoff_star,5,5,3,2,0,0,0.6,0.6,0,0,"numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,59,VQE,5,5,3,2,0,0,0.6,0.6,0,0,"cmath,numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,60,Widom_particle_insertion,5,5,2,2,1,0,0.4,0.4,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,61,Xray_conversion_I,5,5,0,5,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,62,dmrg,6,5,0,5,0,0,0.0,0.0,0,0,"numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,63,Estimating_Stock_Option_Price,6,6,0,6,0,0,0.0,0.0,0,0,"numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,64,GCMC,6,6,3,2,1,0,0.5,0.5,0,0,"itertools,numpy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,65,GHZ_protocol_fidelity,6,6,1,5,0,0,0.16666666666666666,0.16666666666666666,0,0,"itertools,numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,66,kolmogorov_crespi_potential,6,6,2,4,0,0,0.3333333333333333,0.3333333333333333,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,67,LEG_Dyson_equation_bulk,6,6,0,6,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,80,Anderson_thermostat,7,7,2,5,0,0,0.2857142857142857,0.2857142857142857,0,0,"math,mpl_toolkits,numpy,os,pickle,scipy,time",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,68,helium_atom_dmc,8,8,2,6,0,0,0.25,0.25,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,69,LEG_Dyson_equation_semi_infinite,8,8,0,8,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,71,GADC_rev_coherent_info,9,9,3,6,0,0,0.3333333333333333,0.3333333333333333,0,0,"itertools,numpy,scipy",0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,72,ising_model,9,9,5,4,0,0,0.5555555555555556,0.5555555555555556,0,0,numpy,0,31831.489315593004
benchmark,ollama/devstral-small-2:latest,ollama_devstral-small-2_latest,73,Xray_conversion_II,9,9,0,9,0,0,0.0,0.0,0,0,numpy,0,31831.489315593004
